Treatment,Priority,FT_if_5orUnder,FT_if_pregnant,FT_if_tbdiagnosed,FT_if_Hivdiagnosed
FirstAttendance_Emergency,1,0,-1,-1,-1
FirstAttendance_SpuriousEmergencyCare,1,0,-1,-1,-1
Alri_Pneumonia_Treatment_Outpatient,3,2,2,2,2
Alri_Pneumonia_Treatment_Inpatient,3,2,2,2,2
Alri_Pneumonia_Treatment_Inpatient_Followup,3,2,2,2,2
BladderCancer_Investigation,3,2,2,2,2
BladderCancer_PalliativeCare,3,2,2,2,2
BladderCancer_Treatment,3,2,2,2,2
BreastCancer_Investigation,3,2,2,2,2
BreastCancer_PalliativeCare,3,2,2,2,2
BreastCancer_Treatment,3,2,2,2,2
CardioMetabolicDisorders_Investigation,3,2,2,2,2
CardioMetabolicDisorders_Prevention_CommunityTestingForHypertension,3,2,2,2,2
CardioMetabolicDisorders_Prevention_WeightLoss,3,2,2,2,2
CardioMetabolicDisorders_Treatment,3,2,2,2,2
CardioMetabolicDisorders_Treatment_Haemodialysis,3,2,2,2,2
AntenatalCare_FollowUp,3,2,2,2,2
AntenatalCare_Inpatient,3,2,2,2,2
AntenatalCare_Outpatient,3,2,2,2,2
AntenatalCare_PostAbortion,3,2,2,2,2
AntenatalCare_PostEctopicPregnancy,3,2,2,2,2
Contraception_Routine,3,2,2,2,2
Copd_Treatment,3,2,2,2,2
Depression_TalkingTherapy,3,2,2,2,2
Depression_Treatment,3,2,2,2,2
Diarrhoea_Treatment_Inpatient,3,2,2,2,2
Diarrhoea_Treatment_Outpatient,3,2,2,2,2
Epi_Adolescent_Hpv,3,2,2,2,2
Epi_Childhood_Bcg,3,2,2,2,2
Epi_Childhood_DtpHibHep,3,2,2,2,2
Epi_Childhood_MeaslesRubella,3,2,2,2,2
Epi_Childhood_Opv,3,2,2,2,2
Epi_Childhood_Pneumo,3,2,2,2,2
Epi_Childhood_Rota,3,2,2,2,2
Epi_Pregnancy_Td,3,2,2,2,2
Epilepsy_Treatment_Followup,3,2,2,2,2
Epilepsy_Treatment_Start,3,2,2,2,2
FirstAttendance_NonEmergency,3,2,2,2,2
Hiv_Prevention_Circumcision,3,2,2,2,2
Hiv_Prevention_Infant,3,2,2,2,2
Hiv_Prevention_Prep,3,2,2,2,2
Hiv_Test,3,2,2,2,2
Hiv_Test_Selftest,3,2,2,2,2
Hiv_Treatment,3,2,2,2,2
Hiv_PalliativeCare,3,2,2,2,2
DeliveryCare_Basic,3,2,2,2,2
DeliveryCare_Comprehensive,3,2,2,2,2
PostnatalCare_Maternal,3,2,2,2,2
PostnatalCare_Maternal_Inpatient,3,2,2,2,2
PostnatalCare_Comprehensive,3,2,2,2,2
Malaria_Prevention_Iptp,3,2,2,2,2
Malaria_Test,3,2,2,2,2
Malaria_Treatment,3,2,2,2,2
Malaria_Treatment_Complicated,3,2,2,2,2
Measles_Treatment,3,2,2,2,2
PostnatalCare_Neonatal,3,2,2,2,2
PostnatalCare_Neonatal_Inpatient,3,2,2,2,2
OesophagealCancer_Investigation,3,2,2,2,2
OesophagealCancer_PalliativeCare,3,2,2,2,2
OesophagealCancer_Treatment,3,2,2,2,2
OtherAdultCancer_Investigation,3,2,2,2,2
OtherAdultCancer_PalliativeCare,3,2,2,2,2
OtherAdultCancer_Treatment,3,2,2,2,2
PostnatalCare_TreatmentForObstetricFistula,3,2,2,2,2
ProstateCancer_Investigation,3,2,2,2,2
ProstateCancer_PalliativeCare,3,2,2,2,2
ProstateCancer_Treatment,3,2,2,2,2
Rti_AcutePainManagement,3,2,2,2,2
Rti_BurnManagement,3,2,2,2,2
Rti_FractureCast,3,2,2,2,2
Rti_Imaging,3,2,2,2,2
Rti_MajorSurgeries,3,2,2,2,2
Rti_MedicalIntervention,3,2,2,2,2
Rti_MinorSurgeries,3,2,2,2,2
Rti_OpenFractureTreatment,3,2,2,2,2
Rti_ShockTreatment,3,2,2,2,2
Rti_Suture,3,2,2,2,2
Rti_TetanusVaccine,3,2,2,2,2
Schisto_Test,3,2,2,2,2
Schisto_MDA,3,2,2,2,2
Schisto_Treatment,3,2,2,2,2
Undernutrition_Feeding,3,2,2,2,2
Tb_Prevention_Ipt,3,2,2,2,2
Tb_Test_Clinical,3,2,2,2,2
Tb_Test_Culture,3,2,2,2,2
Tb_Test_FollowUp,3,2,2,2,2
Tb_Test_Screening,3,2,2,2,2
Tb_Test_Xray,3,2,2,2,2
Tb_Treatment,3,2,2,2,2
Tb_PalliativeCare,3,2,2,2,2
CervicalCancer_Screening_VIA,3,2,2,2,2
CervicalCancer_Screening_Xpert,3,2,2,2,2
CervicalCancer_Presentation,3,2,2,2,2
CervicalCancer_CINRemoval_Cryotherapy,3,2,2,2,2
CervicalCancer_CINRemoval_Thermoablation,3,2,2,2,2
CervicalCancer_Biopsy,3,2,2,2,2
CervicalCancer_Treatment_Start,3,2,2,2,2
CervicalCancer_Treatment_PostTreatmentCheck,3,2,2,2,2
CervicalCancer_PalliativeCare,3,2,2,2,2
Undernutrition_Feeding_Supplementary,3,2,2,2,2
Undernutrition_Feeding_Inpatient,3,2,2,2,2
Undernutrition_Feeding_Outpatient,3,2,2,2,2
Undernutrition_GrowthMonitoring,3,2,2,2,2
lowest_priority_considered,3,-1,-1,-1,-1
