Treatment,Priority,FT_if_5orUnder,FT_if_pregnant,FT_if_tbdiagnosed,FT_if_Hivdiagnosed
FirstAttendance_Emergency,1,0,-1,-1,-1
FirstAttendance_SpuriousEmergencyCare,1,0,-1,-1,-1
Alri_Pneumonia_Treatment_Outpatient,2,-1,-1,-1,-1
Alri_Pneumonia_Treatment_Inpatient,2,-1,-1,-1,-1
Alri_Pneumonia_Treatment_Inpatient_Followup,2,-1,-1,-1,-1
BladderCancer_Investigation,4,-1,-1,-1,-1
BladderCancer_PalliativeCare,4,-1,-1,-1,-1
BladderCancer_Treatment,4,-1,-1,-1,-1
BreastCancer_Investigation,4,-1,-1,-1,-1
BreastCancer_PalliativeCare,4,-1,-1,-1,-1
BreastCancer_Treatment,4,-1,-1,-1,-1
CardioMetabolicDisorders_Investigation,2,-1,-1,-1,-1
CardioMetabolicDisorders_Prevention_CommunityTestingForHypertension,2,-1,-1,-1,-1
CardioMetabolicDisorders_Prevention_WeightLoss,2,-1,-1,-1,-1
CardioMetabolicDisorders_Treatment,2,-1,-1,-1,-1
CardioMetabolicDisorders_Treatment_Haemodialysis,2,-1,-1,-1,-1
AntenatalCare_FollowUp,2,-1,-1,-1,-1
AntenatalCare_Inpatient,2,-1,-1,-1,-1
AntenatalCare_Outpatient,2,-1,-1,-1,-1
AntenatalCare_PostAbortion,2,-1,-1,-1,-1
AntenatalCare_PostEctopicPregnancy,2,-1,-1,-1,-1
Contraception_Routine,2,-1,-1,-1,-1
Copd_Treatment,2,-1,-1,-1,-1
Depression_TalkingTherapy,2,-1,-1,-1,-1
Depression_Treatment,2,-1,-1,-1,-1
Diarrhoea_Treatment_Inpatient,2,-1,-1,-1,-1
Diarrhoea_Treatment_Outpatient,2,-1,-1,-1,-1
Epi_Adolescent_Hpv,2,-1,-1,-1,-1
Epi_Childhood_Bcg,2,-1,-1,-1,-1
Epi_Childhood_DtpHibHep,2,-1,-1,-1,-1
Epi_Childhood_MeaslesRubella,2,-1,-1,-1,-1
Epi_Childhood_Opv,2,-1,-1,-1,-1
Epi_Childhood_Pneumo,2,-1,-1,-1,-1
Epi_Childhood_Rota,2,-1,-1,-1,-1
Epi_Pregnancy_Td,2,-1,-1,-1,-1
Epilepsy_Treatment_Followup,2,-1,-1,-1,-1
Epilepsy_Treatment_Start,2,-1,-1,-1,-1
FirstAttendance_NonEmergency,2,-1,-1,-1,-1
Hiv_Prevention_Circumcision,4,-1,-1,-1,-1
Hiv_Prevention_Infant,2,-1,-1,-1,-1
Hiv_Prevention_Prep,4,-1,-1,-1,-1
Hiv_Test,2,-1,-1,-1,-1
Hiv_Test_Selftest,2,-1,-1,-1,-1
Hiv_Treatment,2,-1,-1,-1,-1
Hiv_PalliativeCare,2,-1,-1,-1,-1
DeliveryCare_Basic,2,-1,-1,-1,-1
DeliveryCare_Comprehensive,2,-1,-1,-1,-1
PostnatalCare_Maternal,2,-1,-1,-1,-1
PostnatalCare_Maternal_Inpatient,2,-1,-1,-1,-1
PostnatalCare_Comprehensive,2,-1,-1,-1,-1
Malaria_Prevention_Iptp,4,-1,-1,-1,-1
Malaria_Test,2,-1,-1,-1,-1
Malaria_Treatment,2,-1,-1,-1,-1
Malaria_Treatment_Complicated,2,-1,-1,-1,-1
Measles_Treatment,4,-1,-1,-1,-1
PostnatalCare_Neonatal,2,-1,-1,-1,-1
PostnatalCare_Neonatal_Inpatient,2,-1,-1,-1,-1
OesophagealCancer_Investigation,4,-1,-1,-1,-1
OesophagealCancer_PalliativeCare,4,-1,-1,-1,-1
OesophagealCancer_Treatment,4,-1,-1,-1,-1
OtherAdultCancer_Investigation,4,-1,-1,-1,-1
OtherAdultCancer_PalliativeCare,4,-1,-1,-1,-1
OtherAdultCancer_Treatment,3,-1,-1,-1,-1
PostnatalCare_TreatmentForObstetricFistula,2,-1,-1,-1,-1
ProstateCancer_Investigation,4,-1,-1,-1,-1
ProstateCancer_PalliativeCare,4,-1,-1,-1,-1
ProstateCancer_Treatment,4,-1,-1,-1,-1
Rti_AcutePainManagement,2,-1,-1,-1,-1
Rti_BurnManagement,4,-1,-1,-1,-1
Rti_FractureCast,2,-1,-1,-1,-1
Rti_Imaging,2,-1,-1,-1,-1
Rti_MajorSurgeries,2,-1,-1,-1,-1
Rti_MedicalIntervention,2,-1,-1,-1,-1
Rti_MinorSurgeries,2,-1,-1,-1,-1
Rti_OpenFractureTreatment,2,-1,-1,-1,-1
Rti_ShockTreatment,2,-1,-1,-1,-1
Rti_Suture,2,-1,-1,-1,-1
Rti_TetanusVaccine,2,-1,-1,-1,-1
Schisto_Test,4,-1,-1,-1,-1
Schisto_MDA,4,-1,-1,-1,-1
Schisto_Treatment,2,-1,-1,-1,-1
Undernutrition_Feeding,2,-1,-1,-1,-1
Tb_Prevention_Ipt,2,-1,-1,-1,-1
Tb_Test_Clinical,2,-1,-1,-1,-1
Tb_Test_Culture,-1,-1,-1,-1,-1
Tb_Test_FollowUp,2,-1,-1,-1,-1
