Treatment,Priority,FT_if_5orUnder,FT_if_pregnant,FT_if_tbdiagnosed,FT_if_Hivdiagnosed
FirstAttendance_Emergency,1,0,-1,-1,-1
FirstAttendance_SpuriousEmergencyCare,1,0,-1,-1,-1
Alri_Pneumonia_Treatment_Outpatient,5,3,-1,-1,-1
Alri_Pneumonia_Treatment_Inpatient,5,3,-1,-1,-1
Alri_Pneumonia_Treatment_Inpatient_Followup,5,3,-1,-1,-1
BladderCancer_Investigation,5,-1,-1,-1,-1
BladderCancer_PalliativeCare,5,-1,-1,-1,-1
BladderCancer_Treatment,5,-1,-1,-1,-1
BreastCancer_Investigation,5,-1,-1,-1,-1
BreastCancer_PalliativeCare,5,-1,-1,-1,-1
BreastCancer_Treatment,5,-1,-1,-1,-1
CardioMetabolicDisorders_Investigation,5,-1,-1,-1,-1
CardioMetabolicDisorders_Prevention_CommunityTestingForHypertension,5,-1,-1,-1,-1
CardioMetabolicDisorders_Prevention_WeightLoss,5,-1,-1,-1,-1
CardioMetabolicDisorders_Treatment,5,-1,-1,-1,-1
CardioMetabolicDisorders_Treatment_Haemodialysis,5,-1,-1,-1,-1
AntenatalCare_FollowUp,2,-1,-1,-1,-1
AntenatalCare_Inpatient,2,-1,-1,-1,-1
AntenatalCare_Outpatient,2,-1,-1,-1,-1
AntenatalCare_PostAbortion,2,-1,-1,-1,-1
AntenatalCare_PostEctopicPregnancy,2,-1,-1,-1,-1
Contraception_Routine,4,-1,-1,-1,-1
Copd_Treatment,5,-1,-1,-1,-1
Depression_TalkingTherapy,5,-1,-1,-1,-1
Depression_Treatment,5,-1,-1,-1,-1
Diarrhoea_Treatment_Inpatient,5,3,-1,-1,-1
Diarrhoea_Treatment_Outpatient,5,3,-1,-1,-1
Epi_Adolescent_Hpv,5,-1,-1,-1,-1
Epi_Childhood_Bcg,5,3,-1,-1,-1
Epi_Childhood_DtpHibHep,5,3,-1,-1,-1
Epi_Childhood_MeaslesRubella,5,3,-1,-1,-1
Epi_Childhood_Opv,5,3,-1,-1,-1
Epi_Childhood_Pneumo,5,3,-1,-1,-1
Epi_Childhood_Rota,5,3,-1,-1,-1
Epi_Pregnancy_Td,2,-1,-1,-1,-1
Epilepsy_Treatment_Followup,5,-1,-1,-1,-1
Epilepsy_Treatment_Start,5,-1,-1,-1,-1
FirstAttendance_NonEmergency,5,-1,-1,-1,-1
Hiv_Prevention_Circumcision,5,-1,-1,-1,-1
Hiv_Prevention_Infant,5,-1,-1,-1,-1
Hiv_Prevention_Prep,5,-1,-1,-1,-1
Hiv_Test,5,-1,-1,-1,-1
Hiv_Test_Selftest,5,-1,-1,-1,-1
Hiv_Treatment,5,-1,-1,-1,-1
Hiv_PalliativeCare,5,-1,-1,-1,-1
DeliveryCare_Basic,2,-1,-1,-1,-1
DeliveryCare_Comprehensive,2,-1,-1,-1,-1
PostnatalCare_Maternal,2,-1,-1,-1,-1
PostnatalCare_Maternal_Inpatient,2,-1,-1,-1,-1
PostnatalCare_Comprehensive,2,-1,-1,-1,-1
Malaria_Prevention_Iptp,5,-1,-1,-1,-1
Malaria_Test,5,-1,-1,-1,-1
Malaria_Treatment,5,-1,-1,-1,-1
Malaria_Treatment_Complicated,5,-1,-1,-1,-1
Measles_Treatment,5,3,-1,-1,-1
PostnatalCare_Neonatal,2,-1,-1,-1,-1
PostnatalCare_Neonatal_Inpatient,2,-1,-1,-1,-1
OesophagealCancer_Investigation,5,-1,-1,-1,-1
OesophagealCancer_PalliativeCare,5,-1,-1,-1,-1
OesophagealCancer_Treatment,5,-1,-1,-1,-1
OtherAdultCancer_Investigation,5,-1,-1,-1,-1
OtherAdultCancer_PalliativeCare,5,-1,-1,-1,-1
OtherAdultCancer_Treatment,5,-1,-1,-1,-1
PostnatalCare_TreatmentForObstetricFistula,2,-1,-1,-1,-1
ProstateCancer_Investigation,5,-1,-1,-1,-1
ProstateCancer_PalliativeCare,5,-1,-1,-1,-1
ProstateCancer_Treatment,5,-1,-1,-1,-1
Rti_AcutePainManagement,5,-1,-1,-1,-1
Rti_BurnManagement,5,-1,-1,-1,-1
Rti_FractureCast,5,-1,-1,-1,-1
Rti_Imaging,5,-1,-1,-1,-1
Rti_MajorSurgeries,5,-1,-1,-1,-1
Rti_MedicalIntervention,5,-1,-1,-1,-1
Rti_MinorSurgeries,5,-1,-1,-1,-1
Rti_OpenFractureTreatment,5,-1,-1,-1,-1
Rti_ShockTreatment,5,-1,-1,-1,-1
Rti_Suture,5,-1,-1,-1,-1
Rti_TetanusVaccine,5,-1,-1,-1,-1
Schisto_Test,5,3,-1,-1,-1
Schisto_MDA,5,3,-1,-1,-1
Schisto_Treatment,5,3,-1,-1,-1
Undernutrition_Feeding,5,3,-1,-1,-1
Tb_Prevention_Ipt,5,-1,-1,-1,-1
Tb_Test_Clinical,5,-1,-1,-1,-1
Tb_Test_Culture,5,-1,-1,-1,-1
Tb_Test_FollowUp,5,-1,-1,-1,-1
Tb_Test_Screening,5,-1,-1,-1,-1
