Year,Month,Facility_ID,Appt_Type,Usage
2015,1,1,AccidentsandEmerg,637.1989720702655
2015,1,1,AntenatalFirst,1093.8479145333763
2015,1,1,AntenatalTotal,2729.186277262524
2015,1,1,Csection,0.0
2015,1,1,Delivery,736.0
2015,1,1,DentalAll,0.0
2015,1,1,EPI,20507.0
2015,1,1,EstAdult,180.0
2015,1,1,FamPlan,4483.192447633109
2015,1,1,IPAdmission,1705.4274818375097
2015,1,1,InpatientDays,1710.0101601233
2015,1,1,MaleCirc,0.0
2015,1,1,MentalAll,0.0
2015,1,1,NewAdult,78.0
2015,1,1,OPD,35111.791007875225
2015,1,1,PMTCT,56.0
2015,1,1,Peds,20.0
2015,1,1,STI,532.0
2015,1,1,U5Malnutr,103.93551667138304
2015,1,1,VCTTests,2946.0
2015,1,3,AccidentsandEmerg,473.0
2015,1,3,AntenatalFirst,310.0
2015,1,3,AntenatalTotal,727.0
2015,1,3,Csection,119.0
2015,1,3,Delivery,359.0
2015,1,3,DentalAll,0.0
2015,1,3,EPI,4798.0
2015,1,3,EstAdult,0.0
2015,1,3,FamPlan,1444.0
2015,1,3,IPAdmission,2429.0
2015,1,3,InpatientDays,1896.0
2015,1,3,MaleCirc,5.0
2015,1,3,MentalAll,159.0
2015,1,3,NewAdult,7.0
2015,1,3,OPD,10015.0
2015,1,3,PMTCT,0.0
2015,1,3,Peds,0.0
2015,1,3,U5Malnutr,1.0
2015,1,3,VCTTests,194.0
2015,1,5,AccidentsandEmerg,1760.1058441558441
2015,1,5,AntenatalFirst,2811.0
2015,1,5,AntenatalTotal,5103.0
2015,1,5,Csection,2.074074074074074
2015,1,5,Delivery,1507.5
2015,1,5,DentalAll,0.0
2015,1,5,EPI,37734.661437546194
2015,1,5,EstAdult,16157.0
2015,1,5,FamPlan,12219.698616034259
2015,1,5,IPAdmission,2606.0
2015,1,5,InpatientDays,849.0
2015,1,5,MaleCirc,0.0
2015,1,5,MentalAll,0.0
2015,1,5,NewAdult,649.0
2015,1,5,OPD,78916.27067669173
2015,1,5,PMTCT,495.0
2015,1,5,Peds,1285.0
2015,1,5,STI,1167.0
2015,1,5,U5Malnutr,278.0625
2015,1,5,VCTTests,8944.0
2015,1,6,AccidentsandEmerg,43.66666666666667
2015,1,6,AntenatalFirst,24.0
2015,1,6,AntenatalTotal,125.33333333333331
2015,1,6,Csection,65.25
2015,1,6,Delivery,197.30446113391434
2015,1,6,DentalAll,0.0
2015,1,6,EPI,2083.0
2015,1,6,EstAdult,3791.0
2015,1,6,FamPlan,50.73529411764706
2015,1,6,IPAdmission,493.6666666666667
2015,1,6,InpatientDays,691.0
2015,1,6,MaleCirc,0.0
2015,1,6,MentalAll,0.0
2015,1,6,NewAdult,42.0
2015,1,6,OPD,5557.666666666667
2015,1,6,PMTCT,70.0
2015,1,6,Peds,293.0
2015,1,6,STI,50.0
2015,1,6,U5Malnutr,0.375
2015,1,6,VCTTests,354.0
2015,1,13,AccidentsandEmerg,1289.8647204175688
2015,1,13,AntenatalFirst,1030.9166666666667
2015,1,13,AntenatalTotal,2711.1666666666665
2015,1,13,Csection,2.7124725102104934
2015,1,13,Delivery,592.6257501341024
2015,1,13,DentalAll,0.0
2015,1,13,EPI,23347.0
2015,1,13,EstAdult,85.0
2015,1,13,FamPlan,2410.1139797227
2015,1,13,IPAdmission,1023.981921421842
2015,1,13,InpatientDays,754.9230832887735
2015,1,13,MaleCirc,1076.4166666666667
2015,1,13,MentalAll,0.0
2015,1,13,NewAdult,42.0
2015,1,13,OPD,40168.75
2015,1,13,PMTCT,15.0
2015,1,13,Peds,11.0
2015,1,13,STI,275.0
2015,1,13,U5Malnutr,199.35897435897436
2015,1,13,VCTTests,3288.0
2015,1,14,AccidentsandEmerg,202.54
2015,1,14,AntenatalFirst,515.0
2015,1,14,AntenatalTotal,1109.0
2015,1,14,Csection,25.0
2015,1,14,Delivery,462.0
2015,1,14,DentalAll,0.0
2015,1,14,EPI,5773.0
2015,1,14,EstAdult,282.0
2015,1,14,FamPlan,576.0
2015,1,14,IPAdmission,1429.0
2015,1,14,InpatientDays,1506.0
2015,1,14,MaleCirc,217.0
2015,1,14,MentalAll,0.0
2015,1,14,NewAdult,127.0
2015,1,14,OPD,7172.0
2015,1,14,PMTCT,99.0
2015,1,14,Peds,49.0
2015,1,14,STI,120.0
2015,1,14,U5Malnutr,4.0
2015,1,14,VCTTests,1634.0
2015,1,15,AccidentsandEmerg,97.0
2015,1,15,AntenatalFirst,248.0
2015,1,15,AntenatalTotal,419.0
2015,1,15,Csection,63.0
2015,1,15,Delivery,231.0
2015,1,15,DentalAll,0.0
2015,1,15,EPI,4479.0
2015,1,15,EstAdult,2997.0
2015,1,15,FamPlan,4032.315789473684
2015,1,15,IPAdmission,1628.0
2015,1,15,InpatientDays,2001.0
2015,1,15,MaleCirc,11.0
2015,1,15,MentalAll,0.0
2015,1,15,NewAdult,63.0
2015,1,15,OPD,7146.0
2015,1,15,PMTCT,0.0
2015,1,15,Peds,283.0
2015,1,15,STI,364.0
2015,1,15,U5Malnutr,6.0
2015,1,15,VCTTests,793.0
2015,1,17,AccidentsandEmerg,378.0
2015,1,17,AntenatalFirst,772.0
2015,1,17,AntenatalTotal,1415.0
2015,1,17,Csection,1.3562362551052467
2015,1,17,Delivery,582.8637715417283
2015,1,17,DentalAll,0.0
2015,1,17,EPI,19.0
2015,1,17,EstAdult,20254.0
2015,1,17,FamPlan,5836.25
2015,1,17,IPAdmission,1117.0
2015,1,17,InpatientDays,832.0
2015,1,17,MaleCirc,0.0
2015,1,17,MentalAll,0.0
2015,1,17,NewAdult,194.0
2015,1,17,OPD,28717.0
2015,1,17,PMTCT,148.0
2015,1,17,Peds,1606.0
2015,1,17,STI,179.0
2015,1,17,U5Malnutr,70.0
2015,1,17,VCTTests,1996.0
2015,1,18,AccidentsandEmerg,74.0
2015,1,18,AntenatalFirst,85.0
2015,1,18,AntenatalTotal,220.0
2015,1,18,Csection,5.0
2015,1,18,Delivery,85.0
2015,1,18,DentalAll,0.0
2015,1,18,EPI,0.0
2015,1,18,EstAdult,1954.0
2015,1,18,FamPlan,517.2174414906486
2015,1,18,IPAdmission,809.0
2015,1,18,InpatientDays,918.0
2015,1,18,MaleCirc,0.0
2015,1,18,MentalAll,0.0
2015,1,18,NewAdult,38.0
2015,1,18,OPD,1748.0
2015,1,18,PMTCT,46.0
2015,1,18,Peds,260.0
2015,1,18,STI,44.0
2015,1,18,U5Malnutr,1.0
2015,1,18,VCTTests,247.0
2015,1,19,AccidentsandEmerg,72.0
2015,1,19,AntenatalFirst,173.0
2015,1,19,AntenatalTotal,303.0
2015,1,19,Csection,42.0
2015,1,19,Delivery,334.0
2015,1,19,DentalAll,0.0
2015,1,19,EPI,0.0
2015,1,19,EstAdult,3974.0
2015,1,19,FamPlan,821.0
2015,1,19,IPAdmission,1761.0
2015,1,19,InpatientDays,6392.0
2015,1,19,MaleCirc,3.0
2015,1,19,MentalAll,0.0
2015,1,19,NewAdult,47.0
2015,1,19,OPD,6514.0
2015,1,19,PMTCT,9.0
2015,1,19,Peds,205.0
2015,1,19,STI,60.0
2015,1,19,U5Malnutr,7.0
2015,1,19,VCTTests,519.0
2015,1,21,AccidentsandEmerg,184.26666666666668
2015,1,21,AntenatalFirst,464.6
2015,1,21,AntenatalTotal,872.6666666666666
2015,1,21,Csection,0.3562362551052466
2015,1,21,Delivery,305.2183169962738
2015,1,21,DentalAll,0.0
2015,1,21,EPI,7954.0
2015,1,21,FamPlan,770.6666666666666
2015,1,21,IPAdmission,674.0
2015,1,21,InpatientDays,604.4
2015,1,21,MaleCirc,0.0
2015,1,21,MentalAll,0.0
2015,1,21,OPD,14184.666666666668
2015,1,21,STI,63.0
2015,1,21,U5Malnutr,28.333333333333332
2015,1,21,VCTTests,366.0
2015,1,22,AccidentsandEmerg,11.0
2015,1,22,AntenatalFirst,37.0
2015,1,22,AntenatalTotal,102.0
2015,1,22,Csection,0.0
2015,1,22,Delivery,34.0
2015,1,22,DentalAll,0.0
2015,1,22,EPI,734.0
2015,1,22,FamPlan,0.0
2015,1,22,IPAdmission,166.0
2015,1,22,InpatientDays,294.0
2015,1,22,MaleCirc,0.0
2015,1,22,MentalAll,0.0
2015,1,22,OPD,420.0
2015,1,22,STI,12.0
2015,1,22,U5Malnutr,0.0
2015,1,22,VCTTests,82.0
2015,1,23,AccidentsandEmerg,400.0
2015,1,23,AntenatalFirst,251.0
2015,1,23,AntenatalTotal,501.0
2015,1,23,Csection,42.0
2015,1,23,Delivery,213.0
2015,1,23,DentalAll,0.0
2015,1,23,EPI,5125.0
2015,1,23,EstAdult,1024.0
2015,1,23,FamPlan,1397.0
2015,1,23,IPAdmission,1781.0
2015,1,23,InpatientDays,2005.0
2015,1,23,MaleCirc,0.0
2015,1,23,MentalAll,0.0
2015,1,23,NewAdult,24.0
2015,1,23,OPD,0.0
2015,1,23,PMTCT,28.0
2015,1,23,Peds,92.0
2015,1,23,STI,214.0
2015,1,23,U5Malnutr,0.0
2015,1,23,VCTTests,685.0
2015,1,25,AccidentsandEmerg,857.0
2015,1,25,AntenatalFirst,1969.0
2015,1,25,AntenatalTotal,4446.0
2015,1,25,Csection,0.3562362551052466
2015,1,25,Delivery,1451.5660231598902
2015,1,25,DentalAll,0.0
2015,1,25,EPI,93623.58007736944
2015,1,25,FamPlan,6801.197219332711
2015,1,25,IPAdmission,4814.0
