Year,Fevers U5,Attendance U5 Public,Attendance U5 Private,Attendance O5 Public,Attendance O5 Private,Tested U5 Public,Tested U5 Private,Tested O5 Public,Tested O5 Private,Tested_Positive_Public,Tested Positive Private,Tested Negative Public,Tested Negative Private,Untested Received AM Public,Untested Received AM Private,Tested Positive Received AM Public,Tested Positive Received AM Private,Tested Negative Received AM Public,Tested Negative Received AM Private,RDT_Consumption_Public,AM Consumption Public,ACT Consumption Public,RDT Percent Change from Baseline (2021) Public,AM Public Percent Change from Baseline (2021) Public,ACT Public Percent Change from Baseline (2021) Public,RDT Consumption Private,AM Consumption Private,ACT Consumption Private,RDT Percent Change from Baseline (2021) Private,AM Public Percent Change from Baseline (2021) Private,ACT Public Percent Change from Baseline (2021) Private,TotalRDTConsumption
2010,22843858.3,10501201.39396,3345754.17542,12304750.89903,4489705.41028,3942690.36779,709511.67558,4619835.48621,952101.7509,4302090.60232,832936.89924,4260435.25168,828676.52725,5584981.33774,2420823.08839,3974583.27649,769527.51025,1460953.87819,546377.65681,7166347.53527,11020518.49242,8427366.79934,,,,1390676.00922,3736728.25545,968134.88861,,,,8557023.54449
2011,23181440.68,10676737.81795,3363833.35934,12874690.37174,4643582.29338,5534390.14771,980913.16345,6673720.07847,1354095.31642,5992780.91893,1144070.32469,6215329.30726,1190938.15518,4377285.03046,2188931.2355,5536565.59608,1056975.13138,2011029.22092,754834.69331,10715937.65016,11924879.84746,10087801.51573,,,,2049605.12473,4000741.0602,1530316.98015,,,,12765542.77489
2012,24207570.24,10468354.32225,3654584.98191,13840287.17676,5552084.47695,6100050.16395,1183585.71426999,8064920.56562,1798116.03886,6360420.54104,1337608.83903,7804550.18854,1644092.91411,3956428.60635,2427981.04003,5876217.73939,1235780.04592,2395672.53162,1012098.26957,12882802.32411,12228318.87736,10906959.08692,,,,2711807.52918,4675859.35552,2325380.78021,,,,15594609.853289999
2013,26038790.34,11084582.91816,3893320.75259,15653739.23866,6319350.58315,7017303.27817999,1356572.79339,9909893.45168,2201888.7263,6969643.1023,1464479.77301,9957553.62757,2093981.74668,3927280.43644,2663603.50045,6439061.72095,1352992.61513,2738494.59806,1215054.83582,15803053.64204,13104836.75546,12049053.13534,,,,3322142.41828,5231650.95139,3107935.9761,,,,19125196.060319997
2014,27494877.72,11587278.54427,4076978.25364,17190077.48827,6952126.88314,7982946.09062,1564665.30471,11842941.49469,2668091.67262,7579992.89771,1618168.01749,12245894.6876,2614588.95983,3528571.60386,2679046.60188,7002947.12316,1494980.96051,2966460.77733,1391964.39593,18866660.42965,13497979.50435,12666347.62824,,,,4027965.36744,5565991.95832,3764152.56589,,,,22894625.79709
2015,28701653.58,11874758.2993,4132040.58814,18343011.53832,7333428.62885,8805622.48997,1748836.20367,13602098.74295,3103784.97249,8006485.36288,1734601.05512,14401235.87005,3118020.12104,3003347.65156,2542965.17715,7396971.79077,1602550.24414,3047800.20967,1503430.81809,21622000.59731,13448119.652,12795949.60993,,,,4682465.33768,5648946.23938,4181686.38991,,,,26304465.93499
2016,29015215.49,11784722.36776,4067359.0361,18778016.66895,7443954.72133,9187241.41055,1837857.58935,14639137.6025,3363590.12269,8037027.31041,1756118.52862,15789351.70264,3445329.18342,2587784.70436,2423946.28278,7425188.65674,1622429.64656,2950222.93464,1502651.43436,23223208.15415,12963196.29574,12457639.6257,,,,5069771.73718,5549027.3637,4357058.83204,,,,28292979.891330004
2017,28959757.85,11714832.6991,3983964.31619,18847658.94792,7357918.35314,9363726.37988,1826909.45691,15065031.30028,3374089.11216,8127913.78669,1732411.21403,16300843.89347,3468587.35504,2291100.59488,2293771.34568,7509156.17441,1600527.11014,2655706.40323,1328861.47377,23983535.09652,12455963.17252,12041326.54433,,,,5106208.5658,5223159.92958,4236456.92929,,,,29089743.66232
2018,27707980.63,11465577.01162,3720464.71896,18717224.85962,6960079.44031,9319000.77581,1702198.38785,15213000.86433,3184396.81534,7894448.20707,1574616.50673,16637553.43306,3311978.69646,2088158.69279,2141056.90935,7293463.74155,1454744.91661,2388309.31743,1125512.6662,24210769.90702,11769931.75177,11411242.39531,,,,4822608.19271,4721314.49216,3851123.77012,,,,29033378.09973
2019,26852723.61,11066669.82627,3442887.53572,18074291.54225,6434257.56346,9159471.80895,1584808.55474,14959420.17309,2961777.38138999,7767403.52648,1466200.48712,16351488.45556,3080385.44901,1793880.0498,1904072.40542,7176090.65262,1354582.33561,2051603.7529,918751.64579,23892315.96296,11021574.45534,10756303.86182,,,,4503874.71446,4177406.38682,3553454.26836,,,,28396190.67742
