Region,District,Year,value,prior_label,prior_min,prior_max,prior_note,reference
Southern Region,Balaka,2010,0,local,0,1,vague prior,MAP
Southern Region,Balaka,2011,0,local,0,1,vague prior,MAP
Southern Region,Balaka,2012,0,local,0,1,vague prior,MAP
Southern Region,Balaka,2013,0,local,0,1,vague prior,MAP
Southern Region,Balaka,2014,0,local,0,1,vague prior,MAP
Southern Region,Balaka,2015,0,local,0,1,vague prior,MAP
Southern Region,Balaka,2016,0,local,0,1,vague prior,MAP
Southern Region,Balaka,2017,0,local,0,1,vague prior,MAP
Southern Region,Balaka,2018,0,local,0,1,vague prior,MAP
Southern Region,Blantyre,2010,0,local,0,1,vague prior,MAP
Southern Region,Blantyre,2011,0,local,0,1,vague prior,MAP
Southern Region,Blantyre,2012,0,local,0,1,vague prior,MAP
Southern Region,Blantyre,2013,0,local,0,1,vague prior,MAP
Southern Region,Blantyre,2014,0,local,0,1,vague prior,MAP
Southern Region,Blantyre,2015,0,local,0,1,vague prior,MAP
Southern Region,Blantyre,2016,0,local,0,1,vague prior,MAP
Southern Region,Blantyre,2017,0,local,0,1,vague prior,MAP
Southern Region,Blantyre,2018,0,local,0,1,vague prior,MAP
Southern Region,Blantyre City,2010,0,local,0,1,vague prior,MAP
Southern Region,Blantyre City,2011,0,local,0,1,vague prior,MAP
Southern Region,Blantyre City,2012,0,local,0,1,vague prior,MAP
Southern Region,Blantyre City,2013,0,local,0,1,vague prior,MAP
Southern Region,Blantyre City,2014,0,local,0,1,vague prior,MAP
Southern Region,Blantyre City,2015,0,local,0,1,vague prior,MAP
Southern Region,Blantyre City,2016,0,local,0,1,vague prior,MAP
Southern Region,Blantyre City,2017,0,local,0,1,vague prior,MAP
Southern Region,Blantyre City,2018,0,local,0,1,vague prior,MAP
Southern Region,Chikwawa,2010,0.458223253,local,0,1,vague prior,MAP
Southern Region,Chikwawa,2011,0,local,0,1,vague prior,MAP
Southern Region,Chikwawa,2012,0.403926962,local,0,1,vague prior,MAP
Southern Region,Chikwawa,2013,0,local,0,1,vague prior,MAP
Southern Region,Chikwawa,2014,0,local,0,1,vague prior,MAP
Southern Region,Chikwawa,2015,0,local,0,1,vague prior,MAP
Southern Region,Chikwawa,2016,0,local,0,1,vague prior,MAP
