District,Year,value,prior_label,prior_min,prior_max,prior_note,reference
Balaka,2010,0.521244357,local,0,1,vague prior,MAP 
Balaka,2011,0.274477063,local,0,1,vague prior,MAP 
Balaka,2012,0.511938511,local,0,1,vague prior,MAP 
Balaka,2013,0.76769445,local,0,1,vague prior,MAP 
Balaka,2014,0.616507994,local,0,1,vague prior,MAP 
Balaka,2015,0.43172035,local,0,1,vague prior,MAP 
Balaka,2016,0.631228228,local,0,1,vague prior,MAP 
Balaka,2017,0.579129094,local,0,1,vague prior,MAP 
Balaka,2018,0.63985747,local,0,1,vague prior,MAP 
Blantyre,2010,0.497626428,local,0,1,vague prior,MAP 
Blantyre,2011,0.242973623,local,0,1,vague prior,MAP 
Blantyre,2012,0.390966175,local,0,1,vague prior,MAP 
Blantyre,2013,0.582557193,local,0,1,vague prior,MAP 
Blantyre,2014,0.471653904,local,0,1,vague prior,MAP 
Blantyre,2015,0.393022989,local,0,1,vague prior,MAP 
Blantyre,2016,0.623982331,local,0,1,vague prior,MAP 
Blantyre,2017,0.566047397,local,0,1,vague prior,MAP 
Blantyre,2018,0.625568525,local,0,1,vague prior,MAP 
Blantyre City,2010,0.497626428,local,0,1,vague prior,MAP 
Blantyre City,2011,0.242973623,local,0,1,vague prior,MAP 
Blantyre City,2012,0.390966175,local,0,1,vague prior,MAP 
Blantyre City,2013,0.582557193,local,0,1,vague prior,MAP 
Blantyre City,2014,0.471653904,local,0,1,vague prior,MAP 
Blantyre City,2015,0.393022989,local,0,1,vague prior,MAP 
Blantyre City,2016,0.623982331,local,0,1,vague prior,MAP 
Blantyre City,2017,0.566047397,local,0,1,vague prior,MAP 
Blantyre City,2018,0.625568525,local,0,1,vague prior,MAP 
Chikwawa,2010,0.544137662,local,0,1,vague prior,MAP 
Chikwawa,2011,0.28005034,local,0,1,vague prior,MAP 
Chikwawa,2012,0.394040129,local,0,1,vague prior,MAP 
Chikwawa,2013,0.561042549,local,0,1,vague prior,MAP 
Chikwawa,2014,0.411775097,local,0,1,vague prior,MAP 
Chikwawa,2015,0.315652177,local,0,1,vague prior,MAP 
Chikwawa,2016,0.553992866,local,0,1,vague prior,MAP 
Chikwawa,2017,0.524376532,local,0,1,vague prior,MAP 
Chikwawa,2018,0.59469904,local,0,1,vague prior,MAP 
Chiradzulu,2010,0.471551773,local,0,1,vague prior,MAP 
Chiradzulu,2011,0.231960517,local,0,1,vague prior,MAP 
Chiradzulu,2012,0.400058709,local,0,1,vague prior,MAP 
Chiradzulu,2013,0.610585195,local,0,1,vague prior,MAP 
Chiradzulu,2014,0.477679028,local,0,1,vague prior,MAP 
Chiradzulu,2015,0.375404555,local,0,1,vague prior,MAP 
Chiradzulu,2016,0.616408436,local,0,1,vague prior,MAP 
Chiradzulu,2017,0.576602989,local,0,1,vague prior,MAP 
Chiradzulu,2018,0.641855275,local,0,1,vague prior,MAP 
Chitipa,2010,0.244568388,local,0,1,vague prior,MAP 
Chitipa,2011,0.263095889,local,0,1,vague prior,MAP 
Chitipa,2012,0.44660124,local,0,1,vague prior,MAP 
Chitipa,2013,0.591468414,local,0,1,vague prior,MAP 
Chitipa,2014,0.473329624,local,0,1,vague prior,MAP 
Chitipa,2015,0.354737098,local,0,1,vague prior,MAP 
Chitipa,2016,0.532003629,local,0,1,vague prior,MAP 
Chitipa,2017,0.368413197,local,0,1,vague prior,MAP 
Chitipa,2018,0.362132546,local,0,1,vague prior,MAP 
Dedza,2010,0.348830589,local,0,1,vague prior,MAP 
Dedza,2011,0.199701612,local,0,1,vague prior,MAP 
Dedza,2012,0.410085891,local,0,1,vague prior,MAP 
Dedza,2013,0.67052424,local,0,1,vague prior,MAP 
Dedza,2014,0.541420196,local,0,1,vague prior,MAP 
Dedza,2015,0.385613022,local,0,1,vague prior,MAP 
Dedza,2016,0.536496008,local,0,1,vague prior,MAP 
Dedza,2017,0.423663483,local,0,1,vague prior,MAP 
Dedza,2018,0.466716175,local,0,1,vague prior,MAP 
Dowa,2010,0.310249259,local,0,1,vague prior,MAP 
Dowa,2011,0.247670471,local,0,1,vague prior,MAP 
Dowa,2012,0.406621005,local,0,1,vague prior,MAP 
Dowa,2013,0.585187436,local,0,1,vague prior,MAP 
Dowa,2014,0.516896193,local,0,1,vague prior,MAP 
Dowa,2015,0.456087928,local,0,1,vague prior,MAP 
Dowa,2016,0.623974756,local,0,1,vague prior,MAP 
Dowa,2017,0.484461248,local,0,1,vague prior,MAP 
Dowa,2018,0.519160574,local,0,1,vague prior,MAP 
Karonga,2010,0.345913347,local,0,1,vague prior,MAP 
Karonga,2011,0.328334747,local,0,1,vague prior,MAP 
Karonga,2012,0.612484415,local,0,1,vague prior,MAP 
Karonga,2013,0.816123538,local,0,1,vague prior,MAP 
Karonga,2014,0.671557593,local,0,1,vague prior,MAP 
Karonga,2015,0.491945278,local,0,1,vague prior,MAP 
Karonga,2016,0.69692641,local,0,1,vague prior,MAP 
Karonga,2017,0.636761788,local,0,1,vague prior,MAP 
Karonga,2018,0.683413684,local,0,1,vague prior,MAP 
Kasungu,2010,0.308033028,local,0,1,vague prior,MAP 
Kasungu,2011,0.266251951,local,0,1,vague prior,MAP 
Kasungu,2012,0.429144417,local,0,1,vague prior,MAP 
Kasungu,2013,0.584826536,local,0,1,vague prior,MAP 
Kasungu,2014,0.482641185,local,0,1,vague prior,MAP 
Kasungu,2015,0.407742016,local,0,1,vague prior,MAP 
Kasungu,2016,0.609375636,local,0,1,vague prior,MAP 
Kasungu,2017,0.515557802,local,0,1,vague prior,MAP 
Kasungu,2018,0.564448161,local,0,1,vague prior,MAP 
Likoma,2010,0.343523137,local,0,1,vague prior,MAP 
Likoma,2011,0.358920468,local,0,1,vague prior,MAP 
Likoma,2012,0.538743669,local,0,1,vague prior,MAP 
Likoma,2013,0.673362162,local,0,1,vague prior,MAP 
Likoma,2014,0.551109297,local,0,1,vague prior,MAP 
Likoma,2015,0.421899905,local,0,1,vague prior,MAP 
Likoma,2016,0.551460426,local,0,1,vague prior,MAP 
Likoma,2017,0.430004609,local,0,1,vague prior,MAP 
Likoma,2018,0.463334685,local,0,1,vague prior,MAP 
Lilongwe,2010,0.318562577,local,0,1,vague prior,MAP 
Lilongwe,2011,0.225922019,local,0,1,vague prior,MAP 
Lilongwe,2012,0.40445433,local,0,1,vague prior,MAP 
Lilongwe,2013,0.61178055,local,0,1,vague prior,MAP 
Lilongwe,2014,0.509485649,local,0,1,vague prior,MAP 
Lilongwe,2015,0.411051228,local,0,1,vague prior,MAP 
Lilongwe,2016,0.586702665,local,0,1,vague prior,MAP 
Lilongwe,2017,0.477190076,local,0,1,vague prior,MAP 
Lilongwe,2018,0.522010911,local,0,1,vague prior,MAP 
Lilongwe City,2010,0.318562577,local,0,1,vague prior,MAP 
Lilongwe City,2011,0.225922019,local,0,1,vague prior,MAP 
Lilongwe City,2012,0.40445433,local,0,1,vague prior,MAP 
Lilongwe City,2013,0.61178055,local,0,1,vague prior,MAP 
Lilongwe City,2014,0.509485649,local,0,1,vague prior,MAP 
Lilongwe City,2015,0.411051228,local,0,1,vague prior,MAP 
Lilongwe City,2016,0.586702665,local,0,1,vague prior,MAP 
Lilongwe City,2017,0.477190076,local,0,1,vague prior,MAP 
Lilongwe City,2018,0.522010911,local,0,1,vague prior,MAP 
Machinga,2010,0.474908027,local,0,1,vague prior,MAP 
Machinga,2011,0.238977934,local,0,1,vague prior,MAP 
Machinga,2012,0.461241679,local,0,1,vague prior,MAP 
Machinga,2013,0.731416057,local,0,1,vague prior,MAP 
Machinga,2014,0.565238406,local,0,1,vague prior,MAP 
Machinga,2015,0.384903902,local,0,1,vague prior,MAP 
Machinga,2016,0.603192341,local,0,1,vague prior,MAP 
Machinga,2017,0.570361038,local,0,1,vague prior,MAP 
Machinga,2018,0.637598954,local,0,1,vague prior,MAP 
Mangochi,2010,0.441229348,local,0,1,vague prior,MAP 
Mangochi,2011,0.242069882,local,0,1,vague prior,MAP 
Mangochi,2012,0.518338546,local,0,1,vague prior,MAP 
Mangochi,2013,0.786640115,local,0,1,vague prior,MAP 
