Year,IncidenceRatePer1000,InfectionPrevalencePer100children,NumberClinicalCases,DeathsPer100Thousand,NumberDeaths
2010,379.391700830362,33.828482781015,5452778.8008052,59.2189081099539,8511.19320855071
2011,364.943671198514,32.02332902623,5398526.68165213,48.2593966060101,7138.90007634248
2012,320.182307299569,26.6481012474061,4877055.92596864,42.4259310011038,6462.36951531732
2013,287.102308338626,23.0458576821931,4504224.05877577,43.8630978987049,6881.49189712395
2014,261.834219752332,20.4128463475674,4231259.14273557,41.9572939790729,6780.3277937209
2015,240.839972132477,18.2620001529047,4008462.57426596,39.2286711830771,6529.09311038513
2016,224.848333843741,16.7191193797365,3851658.86714884,36.3195538380253,6221.55073154054
2017,217.942865438986,16.2767061442062,3839510.12927389,33.7951594508967,5953.70978401996
2018,208.467686591791,15.532648054907,3774333.25869754,32.9447741851108,5964.69212759232
2019,205.872439942641,15.5063275131399,3827380.13975399,32.0170476500917,5952.29805133994
2020,229.04921864338,18.4704110096273,4368948.68296141,39.9755019748833,7625.0387466203
