Year,ITN_coverage,IRS_coverage,ACT_coverage,MIS_sleptUnderITN,MIS_IPTp_1dose,MIS_IPTp_2dose,MIS_IPTp_3dose
2000,0.0,0.0,0.0,,,,
2001,0.0,0.0,0.0,,,,
2002,0.0,0.0,0.0,,,,
2003,0.0337,0.0,0.0,0.02022,,,
2004,0.1149,0.0,0.011,0.06894,,,
2005,0.2636,0.0,0.0269,0.15816,,,
2006,0.2405,0.0,0.0538,0.14429999999999998,,,
2007,0.2865,0.007123748,0.0898,0.17189999999999997,,,
2008,0.3185,0.006984489,0.1382,0.1911,,,
2009,0.2908,0.019859847,0.2082,0.17448,,,
2010,0.2961,0.135826917,0.352,0.17765999999999998,,,
2011,0.372,0.020848395,0.3304,0.22319999999999998,,,
2012,0.6723,0.117853454,0.296,0.37,77.0,54.0,13.0
2013,0.8438,0.0,0.345,0.53,,,
2014,0.7304,0.04623395,0.3586,0.53,90.0,64.0,13.0
2015,0.7915,0.04623395,0.4216,0.53,,,
2016,0.7915,0.04623395,0.4216,0.53,,,
2017,0.7915,0.04623395,0.4216,0.55,92.0,76.0,41.0
2018,0.7915,0.04623395,0.4216,0.55,,,
2019,0.7915,0.04623395,0.4216,0.55,,,
2020,0.7915,0.04623395,0.4216,0.55,,,
2021,0.7915,0.04623395,0.4216,0.55,,,
2022,0.7915,0.04623395,0.4216,0.55,,,
2023,0.7915,0.04623395,0.4216,0.55,,,
2024,0.7915,0.04623395,0.4216,0.55,,,
2025,0.7915,0.04623395,0.4216,0.55,,,
