Year,ITN_coverage,IRS_coverage,ACT_coverage,EffectiveTreatmentCoverage
2000,0.0,0.0,0.0,
2001,0.0,0.0,0.0,
2002,0.0,0.0,0.0,
2003,0.0337,0.0,0.0,
2004,0.1149,0.0,0.011,
2005,0.2636,0.0,0.0269,
2006,0.2405,0.0,0.0538,
2007,0.2865,0.007123748,0.0898,
2008,0.3185,0.006984489,0.1382,
2009,0.2908,0.019859847,0.2082,
2010,0.2961,0.135826917,0.352,48.3706124746
2011,0.372,0.020848395,0.3304,47.6918300798999
2012,0.6723,0.117853454,0.296,46.4958307785
2013,0.8438,0.0,0.345,47.1958545269999
2014,0.7304,0.04623395,0.3586,46.8752123564
2015,0.7915,0.04623395,0.4216,45.8885350589999
2016,,,,44.7643932286
2017,,,,44.9510288002
2018,,,,46.4737092691
2019,,,,44.4700781951
2020,,,,45.4466300093
